latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
24.20603,82.71886,313.1,0.43,0.46,2017-12-01,2034,N,VIIRS,n,1,287.3,2,
23.64736,85.43673,305.8,0.32,0.55,2017-12-01,2034,N,VIIRS,n,1,285.1,1.1,
23.73647,85.02926,296.2,0.6,0.53,2017-12-01,2034,N,VIIRS,n,1,285.5,2,
24.56408,81.00394,298.5,0.51,0.41,2017-12-01,2034,N,VIIRS,n,1,287,1,
23.66369,85.55389,296.1,0.33,0.55,2017-12-01,2034,N,VIIRS,n,1,283.9,0.3,
23.43246,86.90216,296.2,0.4,0.6,2017-12-01,2034,N,VIIRS,n,1,284.7,0.6,
23.88904,84.99484,308.3,0.6,0.53,2017-12-01,2034,N,VIIRS,n,1,273.8,2.4,
23.78495,85.54852,296.7,0.32,0.55,2017-12-01,2034,N,VIIRS,n,1,284.5,0.3,
23.63136,86.29692,297.5,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,286.4,0.9,
23.67763,86.08771,308.2,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,289.5,1.1,
23.67838,86.0843,306.5,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,289.2,1.1,
23.67975,86.10281,301.9,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,288.6,1.6,
23.68125,86.09598,309.8,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,287.1,1.5,
23.682,86.09255,312.6,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,288.3,1.5,
23.68351,86.08572,306.9,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,287,2.1,
23.79244,85.61105,311,0.33,0.55,2017-12-01,2034,N,VIIRS,n,1,284.5,1.9,
23.79175,85.61425,332.7,0.33,0.55,2017-12-01,2034,N,VIIRS,n,1,286.9,1.9,
23.69602,86.07835,297.2,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,281.8,0.8,
23.70116,86.07969,310.8,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,283.8,0.8,
23.70191,86.07627,299.1,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,282.7,0.8,
23.76041,85.8572,296.9,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,286.3,1.4,
23.75969,85.8605,322,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,289.2,1.4,
23.69613,86.07771,300.6,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,281.6,0.9,
23.70127,86.07904,315,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,284.4,0.9,
23.70204,86.07565,296.2,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,282.7,0.9,
23.75625,85.85902,300.9,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,287,1.4,
23.76127,85.86054,316.1,0.34,0.56,2017-12-01,2034,N,VIIRS,n,1,288.4,1.4,
23.76404,86.04154,296.8,0.35,0.56,2017-12-01,2034,N,VIIRS,n,1,285.3,0.6,
23.76478,86.0382,300.4,0.35,0.56,2017-12-01,2034,N,VIIRS,n,1,285.7,1.1,
23.76552,86.03487,314.9,0.35,0.56,2017-12-01,2034,N,VIIRS,n,1,287.5,1.1,
26.67163,67.261,327.2,0.36,0.57,2017-12-01,2034,N,VIIRS,n,1,285,1.2,
23.76921,86.04268,303.4,0.35,0.56,2017-12-01,2034,N,VIIRS,n,1,286.4,0.8,
23.48311,87.35707,302.9,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,286.9,1,
23.61353,86.78645,297.8,0.39,0.59,2017-12-01,2034,N,VIIRS,n,1,284.7,0.9,
23.51402,87.27396,304.6,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,287,1.2,
23.70441,86.43241,297.3,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,284.7,0.3,
23.56175,87.09054,299.3,0.41,0.6,2017-12-01,2034,N,VIIRS,n,1,285.5,0.5,
23.56721,87.09208,297.3,0.41,0.6,2017-12-01,2034,N,VIIRS,n,1,285.3,0.4,
23.61936,86.86166,296.7,0.39,0.6,2017-12-01,2034,N,VIIRS,n,1,286.1,0.7,
23.71702,86.45075,310.3,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,289.4,1.4,
23.71861,86.44361,295.1,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,283.5,1.4,
23.72387,86.44497,303.5,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,285.4,1.2,
23.72466,86.44141,309.1,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,285.4,2.2,
23.77618,86.20831,300.4,0.36,0.57,2017-12-01,2034,N,VIIRS,n,1,289.2,1.8,
23.55001,87.24492,301.3,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,289.7,1.1,
23.55645,87.24237,303.9,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,287.8,2.2,
23.55737,87.23833,316.1,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,286.3,2.8,
23.73754,86.43343,300.6,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,283.1,0.8,
23.73834,86.42984,296.3,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,284.2,1.1,
23.72106,86.4493,301.1,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,289.4,1.6,
23.72269,86.4422,312.5,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,286.4,0.7,
23.72351,86.43864,295.9,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,283.5,0.7,
23.77659,86.20629,303.8,0.35,0.57,2017-12-01,2034,N,VIIRS,n,1,289,1.7,
23.72795,86.44356,298,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,286.2,0.7,
23.72876,86.44001,305.7,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,286.2,0.7,
23.54801,87.24484,297.1,0.42,0.61,2017-12-01,2034,N,VIIRS,n,1,287.1,1.9,
23.74172,86.43203,302.5,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,283.9,1.4,
23.74942,86.42265,297.4,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,285.6,0.7,
23.75025,86.41902,306.6,0.37,0.58,2017-12-01,2034,N,VIIRS,n,1,285.2,1.4,
23.56094,87.23975,327.4,0.41,0.61,2017-12-01,2034,N,VIIRS,n,1,287.3,2.4,
23.63975,86.92553,297.1,0.4,0.6,2017-12-01,2034,N,VIIRS,n,1,284.1,0.3,
23.76112,86.3956,298.8,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,287.6,1.1,
23.76637,86.39695,302,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,290.3,2.1,
23.76717,86.39339,305.1,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,292.8,1.5,
23.76798,86.38983,317.9,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,288.7,1.5,
23.76879,86.38625,302.4,0.36,0.58,2017-12-01,2034,N,VIIRS,n,1,285,2.8,
23.77916,86.34048,303.8,0.36,0.57,2017-12-01,2034,N,VIIRS,n,1,283.7,1.5,
15.95734,75.10003,330.7,0.39,0.36,2017-12-01,2037,N,VIIRS,n,1,284.6,3.9,
16.30514,73.65381,299.3,0.39,0.36,2017-12-01,2037,N,VIIRS,n,1,276.4,0.3,
16.3057,73.65018,299.3,0.39,0.36,2017-12-01,2037,N,VIIRS,n,1,275.5,0.4,
16.25263,75.40926,296.6,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,277.8,0.4,
16.25596,75.40984,296.1,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,276.8,0.4,
16.32526,75.08451,298.4,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,284.1,0.8,
